trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
336,False,"{'a': 0.001, 'e': 0.7146231058160573}",25,9,-33.94845663969869,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
337,False,"{'a': 0.001, 'e': 0.71390883990272}",20,0,-85.70501743890425,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
338,False,"{'a': 0.001, 'e': 0.7131952878982822}",20,0,-99.07662218875323,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
339,False,"{'a': 0.001, 'e': 0.7124824490891918}",25,7,-40.372878724808146,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
340,False,"{'a': 0.001, 'e': 0.7117703227626097}",20,0,-128.53625700862605,"{0: 11, 1: 3, 2: 3, 3: 1, 4: 2}",0
341,False,"{'a': 0.001, 'e': 0.7110589082064097}",25,0,19.232094818145086,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
342,False,"{'a': 0.001, 'e': 0.7103482047091773}",20,1,-39.60765807594989,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
343,False,"{'a': 0.001, 'e': 0.7096382115602087}",20,8,-37.013401457460965,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
344,False,"{'a': 0.001, 'e': 0.7089289280495107}",20,0,-53.93646127316279,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
345,False,"{'a': 0.001, 'e': 0.7082203534678}",20,0,-97.83553224752346,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
346,False,"{'a': 0.001, 'e': 0.7075124871065017}",20,0,-58.55704589399721,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
347,False,"{'a': 0.001, 'e': 0.7068053282577494}",20,1,-99.94054082606188,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 0}",1
348,False,"{'a': 0.001, 'e': 0.7060988762143844}",20,3,-80.58820640226588,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 1}",1
349,False,"{'a': 0.001, 'e': 0.7053931302699543}",25,10,-45.06865157316284,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 1}",1
350,False,"{'a': 0.001, 'e': 0.7046880897187134}",30,1,-43.9260627647143,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 0}",1
351,False,"{'a': 0.001, 'e': 0.7039837538556208}",25,0,-23.891241719280295,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
352,False,"{'a': 0.001, 'e': 0.7032801219763409}",25,0,-44.663375168084684,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
353,False,"{'a': 0.001, 'e': 0.7025771933772416}",20,0,-203.0224071882713,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 4}",0
354,False,"{'a': 0.001, 'e': 0.701874967355394}",30,0,-72.40295602435945,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
355,False,"{'a': 0.001, 'e': 0.7011734432085724}",25,0,-103.83882374882396,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
356,False,"{'a': 0.001, 'e': 0.7004726202352524}",30,3,-96.07912531043154,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 1}",1
357,False,"{'a': 0.001, 'e': 0.699772497734611}",25,0,-35.4422791974205,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 1}",0
